Study,Experiment,model,wta_accuracy
Martyetal_2022,Exp_6,text-davinci-003,0.875
Martyetal_2022,Exp_4,text-davinci-003,0.8333333333333334
Martyetal_2022,Exp_5,text-davinci-003,0.8333333333333334
Martyetal_2022,Exp_4,Llama-2-70b-hf,0.7291666666666666
Martyetal_2022,Exp_4,Mixtral-8x7B-v0.1,0.7291666666666666
Martyetal_2022,Exp_5,Mistral-7B-Instruct-v0.2,0.6666666666666666
Martyetal_2022,Exp_5,Mixtral-8x7B-Instruct-v0.1,0.6666666666666666
Martyetal_2022,Exp_5,Mixtral-8x7B-v0.1,0.6666666666666666
Martyetal_2022,Exp_4,Mistral-7B-Instruct-v0.2,0.6458333333333334
Martyetal_2022,Exp_4,Mixtral-8x7B-Instruct-v0.1,0.6458333333333334
Martyetal_2022,Exp_5,Llama-2-70b-hf,0.6458333333333334
Martyetal_2022,Exp_6,Llama-2-70b-hf,0.6041666666666666
Martyetal_2022,Exp_6,Llama-2-7b-chat-hf,0.6041666666666666
Martyetal_2022,Exp_6,Mistral-7B-v0.1,0.5833333333333334
Martyetal_2022,Exp_4,Mistral-7B-v0.1,0.5625
Martyetal_2022,Exp_6,Mixtral-8x7B-Instruct-v0.1,0.5625
Martyetal_2022,Exp_4,Llama-2-7b-chat-hf,0.5416666666666666
Martyetal_2022,Exp_5,Llama-2-7b-chat-hf,0.5416666666666666
Martyetal_2022,Exp_5,Llama-2-7b-hf,0.5416666666666666
Martyetal_2022,Exp_6,Llama-2-13b-chat-hf,0.5416666666666666
Martyetal_2022,Exp_6,Llama-2-13b-hf,0.5416666666666666
Martyetal_2022,Exp_6,Llama-2-7b-hf,0.5416666666666666
Martyetal_2022,Exp_6,Mistral-7B-Instruct-v0.2,0.5416666666666666
Martyetal_2022,Exp_4,Llama-2-13b-hf,0.5208333333333334
Martyetal_2022,Exp_5,falcon-7b,0.5208333333333334
Martyetal_2022,Exp_5,Mistral-7B-v0.1,0.5208333333333334
Martyetal_2022,Exp_6,falcon-7b,0.5208333333333334
Martyetal_2022,Exp_4,Llama-2-70b-chat-hf,0.5
Martyetal_2022,Exp_4,phi-2,0.5
Martyetal_2022,Exp_4,pythia-12b,0.5
Martyetal_2022,Exp_4,pythia-2.8b,0.5
Martyetal_2022,Exp_4,pythia-6.9b,0.5
Martyetal_2022,Exp_5,Llama-2-70b-chat-hf,0.5
Martyetal_2022,Exp_5,phi-2,0.5
Martyetal_2022,Exp_5,pythia-12b,0.5
Martyetal_2022,Exp_5,pythia-2.8b,0.5
Martyetal_2022,Exp_5,pythia-6.9b,0.5
Martyetal_2022,Exp_6,Llama-2-70b-chat-hf,0.5
Martyetal_2022,Exp_6,Mixtral-8x7B-v0.1,0.5
Martyetal_2022,Exp_6,phi-2,0.5
Martyetal_2022,Exp_6,pythia-12b,0.5
Martyetal_2022,Exp_6,pythia-2.8b,0.5
Martyetal_2022,Exp_6,pythia-6.9b,0.5
Martyetal_2022,Exp_4,Llama-2-7b-hf,0.4791666666666667
Martyetal_2022,Exp_5,Llama-2-13b-hf,0.4791666666666667
Martyetal_2022,Exp_4,Llama-2-13b-chat-hf,0.4583333333333333
Martyetal_2022,Exp_5,Llama-2-13b-chat-hf,0.4583333333333333
Martyetal_2022,Exp_4,falcon-7b,0.3958333333333333
